name,Unnamed: 0,survey,survey_location,id,limit,year,speed,latitude,longitude
BAYSWATER ROAD,112507.5,14430.0,8488.5,9840.0,70.0,2011.0,63.7634374302,-37.83132956,145.2691704
BAYVIEW AVENUE,144219.5,15061.0,9683.5,10544.5,60.0,2013.0,57.3393229645,-38.63004408,145.7245488
BEACH ROAD,9431.5,1167.0,128.5,11336.0,60.0,2009.0,63.6337263981,-37.967667585,145.0363199
BEACH STREET,169349.5,18116.0,1.5,11336.0,60.0,2012.0,57.5406250158,-37.844230655,144.94081875
BEACONSFIELD-EMERALD ROAD,168323.5,17789.0,1.5,10859.0,100.0,2011.0,84.5547659004,-37.95601707,145.4678746
BEAUFORT-LEX,174582.5,18438.0,1.51111111111,9142.71111111,60.0,2012.0,60.2291666452,-37.28177807,143.5125472
BEDFORD ROAD,112411.5,14429.0,8486.5,13688.5,60.0,2011.0,59.4264842474,-37.82459107,145.2512493
BEECH FOREST ROAD,31655.5,10486.0,1680.5,8400.5,100.0,2012.0,88.6078803022,-38.48498047,143.5700118
BEECH FOREST-LAVERS HILL ROAD,49331.2948718,11428.025641,3794.88461538,8294.16666667,100.0,2012.56410256,76.4766025787,-38.6317018628,143.539884426
BEECHWORTH ROAD,158323.5,17360.0,1.5,9982.5,65.0,2013.0,61.3614583015,-36.138881295,146.88547515
BEECHWORTH-CHILTERN ROAD,47044.5,10821.0,2367.51111111,9858.28888889,100.0,2013.0,86.8713888804,-36.30720954,146.6700533
BEECHWORTH-WANGARATTA ROAD,78322.5,12570.0,5331.5,10077.0,80.0,2012.0,80.0498173223,-36.37748676,146.57150385
BEECHWORTH-WODONGA ROAD,112924.166667,14365.3333333,3922.83333333,9982.5,93.3333333333,2013.0,96.1250865992,-36.2872659733,146.7526054
BELGRAVE-GEMBROOK ROAD,200886.166667,19105.1666667,1.5,10873.3333333,73.3333333333,2012.33333333,67.3938889435,-37.9332369633,145.469750567
BELGRAVE-HALLAM ROAD,100317.5,13887.5,7472.5,12280.25,60.0,2011.0,78.4048826892,-37.9617829,145.3307101
BELL STREET,107121.5,14230.0,8102.5,5669.5,60.0,2011.0,63.3616926469,-37.65581185,145.3750276
BELMORE STREET,140493.5,15015.0,9591.5,13522.0,55.0,2013.0,50.0479166508,-36.01348682,146.0045015
BEMM RIVER ROAD,12042.5,10061.0,930.548387097,7758.06451613,100.0,2011.0,89.2172985695,-37.69182923,148.8193094
BENALLA ROAD,124459.5,15200.25,2115.75,12948.0,90.0,2012.75,85.6046220957,-36.4007939463,145.519372737
BENALLA-,139461.601695,15710.8728814,5008.11864407,9815.37288136,91.8644067797,2012.40677966,92.55935254,-36.1669884712,145.745905051
BENALLA-TA,133138.5,14909.0,9385.48888889,10137.7555556,80.0,2013.0,97.7702766446,-36.62611647,146.0426429
BENALLA-YARRAWONGA ROAD,103349.5,14140.0,3479.5,13518.0,90.0,2012.66666667,93.5148431442,-36.17776594,145.993087733
BENAMBRA ROAD,53429.5,10982.0,2670.475,31467.425,100.0,2013.0,71.539999914,-37.06291271,147.615155
BENAMBRA-CORRYONG ROAD,89773.5,13384.0,5902.46666667,8357.8,60.0,2012.0,85.7407502493,-36.82463121,147.7045291
BENDIGO ROAD,137109.5,14975.0,9511.5,12805.0,80.0,2011.0,66.8901039369,-35.74124366,143.9201355
BENDIGO-MALDON ROAD,36707.5,10632.0,1980.5,9154.0,100.0,2013.0,92.7747396627,-36.86292532,144.152218
BENDIGO-MURCHISON ROAD,61902.1666667,11684.8333333,3983.5,12888.9166667,95.0,2011.66666667,94.8133148594,-36.6001235933,144.881294767
BENDIGO-PYRAMID ROAD,88655.6627907,13160.9395349,6848.85581395,9616.09767442,96.1860465116,2012.38604651,95.8820167353,-36.3504005688,144.214115712
BENDIGO-REDESDALE ROAD,53784.5,10989.0,2686.4893617,9175.89361702,100.0,2013.0,96.1465419997,-36.8950946,144.496221
BENDIGO-ST ARNAUD ROAD,79739.7521008,12885.4243697,3247.13865546,12040.0378151,92.1008403361,2012.39915966,91.9297840929,-36.6997142954,143.73034332
BENDIGO-TENNYSON ROAD,103617.886364,13717.5454545,7764.35227273,9925.17045455,89.7727272727,2011.51136364,99.9846284128,-36.5154600138,144.37812694
BENGWORDEN ROAD,17706.5,10144.5287356,1115.56321839,10517.8390805,100.0,2013.0,98.4004300414,-37.984575227,147.336299479
BERNARD STREET,122809.5,14595.0,8787.5,31237.5,60.0,2011.0,57.7059112784,-37.95451397,145.07336955
BERWICK-CRANBOURNE ROAD,112987.5,14441.0,8510.5,10826.5,100.0,2011.0,93.5730469615,-38.08493936,145.3334426
BEULAH-BIRCHIP ROAD,110942.5,14408.0,8444.51351351,9138.2972973,80.0,2012.0,100.710809601,-35.96478755,142.617682
BILLSON STREET,172527.5,18310.0,1.5,8150.0,100.0,2012.0,51.3296875159,-38.60657622,145.5901895
BIRCHIP ROAD,25372.5,10285.0,1422.48837209,9411.06976744,100.0,2012.0,99.5497085193,-35.52981575,142.8471599
BIRCHIP-SEA LAKE ROAD,70871.5,12406.0,5938.475,9547.95,100.0,2012.0,96.0087497705,-35.56939166,142.8537947
BIRCHIP-WYCHEPROOF ROAD,111827.159341,14792.989011,7972.17582418,9113.24175824,100.0,2012.01098901,94.065095921,-36.0292214878,143.099464785
BIRREGURRA ROAD,31840.5,10488.0,1684.53488372,8035.79069767,100.0,2012.0,83.3468022898,-38.33043356,143.7832494
BIRREGURRA-DEANS MARSH ROAD,31924.5,10489.0,1686.51219512,8262.63414634,100.0,2012.0,97.6878046166,-38.34822289,143.8110837
BIRREGURRA-FORREST ROAD,32005.5,10491.0,1690.5,8390.0,100.0,2012.0,90.2034371856,-38.46520849,143.7685645
BLACK FOREST DRIVE,175491.5,18459.0,1.5,9236.0,67.5,2012.0,90.4660418822,-37.41110004,144.5436126
BLACK SPRINGS ROAD,185675.5,18675.0,1.5,31307.5,60.0,2011.0,64.124479135,-37.75570368,145.2945329
BLACKBURN ROAD,192333.5,18880.0,1.5,9506.5,65.0,2011.5,61.5721483032,-37.8657283975,145.147023075
BLACKSHAWS ROAD,118221.5,14522.0,8672.5,9946.0,60.0,2011.0,58.2458333571,-37.83167417,144.8525651
BLACKWOOD ROAD,157000.5,17314.0,9994.51162791,11710.9069767,100.0,2012.0,78.6880812974,-37.43021897,144.2830255
BLAIR STREET,108175.5,14264.0,8161.5,6863.0,50.0,2013.0,46.6291666826,-38.47786902,145.9468799
BLOOMFIELD ROAD,83581.5,12914.0,3577.5,10112.5,100.0,2013.0,92.7919271773,-38.16847965,145.9721309
BLUE RIBBON ROAD,115889.847826,14851.5217391,842.77173913,9221.69565217,79.1304347826,2011.47826087,75.6332332557,-36.6393520465,142.204187404
BOARDWALK BOULEVARD,194839.5,18951.0,1.5,13736.5,60.0,2012.0,67.0293488302,-37.87989493,144.7351725
BOGONG HIGH PLAINS ROAD,202710.5,19173.0,1.48648648649,31773.5405405,100.0,2013.0,66.5601352228,-36.77152483,147.212181
BONEGILLA ROAD,52671.5,10961.0,2624.5,10004.5,100.0,2013.0,82.8437499202,-36.13199078,147.0085826
BOOLARA - CHURCHILL RDBTW YINNAR ROAD& BASTIN STREET,46049.5,10810.0,2346.0,16788.0,100.0,2013.0,95.1005205317,-38.38281854,146.2855642
BOOLARA - CHURCHILL ROAD,45261.5,10778.0,2281.5,11667.5,100.0,2013.0,103.471874475,-38.33293956,146.3912617
BOOLARA - CHURCHILL ROADBTW BASTIN STREETAND CHRISTIAN STREET,168207.5,17783.0,1.0,16789.0,80.0,2013.0,68.9291666348,-38.38166011,146.2769979
BOOLARA - CHURCHILL ROADBTW CHRISTIAN STREET& BASTIN ROAD,168253.5,17783.0,2.0,6546.0,80.0,2013.0,70.5613637405,-38.38166011,146.2769979
BOOLARA CHURCHILL RDBTW BASTIN STREET& YINNAR ROAD,46003.5,10810.0,2345.0,6547.0,100.0,2013.0,90.7249996005,-38.38281854,146.2855642
BOOLARRA-FOSTER ROAD,84555.5,12931.4756098,3642.96341463,7648.96341463,100.0,2012.0,75.1699543691,-38.4298430696,146.283105991
BOOLARRA-MIRBOOROAD,46115.5,10811.0,2347.52380952,10232.2380952,100.0,2012.0,67.7875001996,-38.39496294,146.2317665
BOORAN ROAD,182343.5,18635.0,1.5,13742.0,60.0,2011.0,54.9022917553,-37.89608436,145.0362789
BOORT-CHARL,72678.5,12467.0,6060.48780488,9538.6097561,100.0,2012.0,58.6585364923,-36.27143922,143.365979
BOORT-KERANG ROAD,72592.5,12466.0,6058.51111111,9544.22222222,100.0,2013.0,82.8519444787,-35.73835047,143.8914606
BOORT-MITIAMO ROAD,72761.5,12469.0,6064.5,9675.5,100.0,2012.0,102.046128495,-36.21284463,144.1234268
BOORT-PYRAMID ROAD,86400.4354839,12746.483871,5656.59139785,9597.96774194,90.3225806452,2012.51612903,93.6895285142,-36.1266207003,143.798572445
BOORT-WEDDERBURN ROAD,25290.5,10283.0,1418.53846154,9272.15384615,100.0,2012.0,88.539743619,-36.40925399,143.6453699
BOORT-WYCHEPROOF ROAD,25634.5,10289.0,1430.48888889,9546.73333333,100.0,2011.0,92.4508330036,-36.07720648,143.2452731
BORONIA ROAD,100365.5,13888.0,7460.5,11712.5,60.0,2011.0,62.6715364848,-37.86184085,145.2786595
BORUNG HIGHWAY,58536.9907975,11566.3374233,2508.18404908,7156.74539877,98.5889570552,2012.56748466,97.5448228894,-36.2960236767,142.690196057
BOUNDARY ROAD,148386.740838,16501.6387435,4060.38743455,10664.5287958,65.0261780105,2012.0,61.3809620624,-37.9447576958,144.239629216
BOURKES CREEK ROAD,185494.5,18673.0,1.51351351351,13896.3783784,100.0,2011.0,52.2147636927,-37.97958257,145.4791087
BOWSER ROAD,44783.5,10762.0,2249.5,8417.0,100.0,2013.0,97.6661454032,-36.32160491,146.3618024
BOX FOREST ROAD,116445.5,14498.0,8624.5,13761.5,60.0,2011.0,54.940677146,-37.70419054,144.9573042
BRANDY CREEK ROAD,85040.5,13692.0,498.0,10117.0,80.0,2012.5,77.7276041704,-38.124006755,145.93098855
BREAKWATER ROAD,127395.5,14761.0,9091.5,11594.5,60.0,2012.0,62.7377604644,-38.1815024,144.35949575
BRIAGOLONG ROAD,14381.5,10096.0,1000.5,11818.5,100.0,2012.0,101.369002376,-37.90613418,147.0768995
BRIDGE INN ROAD,189559.5,18785.5,1.5,13769.0,80.0,2012.0,74.6713540158,-37.600377615,145.09296535
BRIDGE ROAD,149793.5,16407.5,3470.0,9357.0,60.0,2009.5,42.7074219188,-37.8192827175,145.006574025
BRIDGE STREET,86778.5,12992.5,6259.0,10087.75,67.5,2012.5,65.4042773247,-36.8202943025,145.449716075
BRIDGEWATER ROAD,77915.5,12711.0,6544.5,8508.5,100.0,2013.0,90.4695313382,-38.34995189,141.5117838
BRIDGEWATER-DUNOLLY ROAD,116419.943609,15076.5488722,3905.28571429,10104.4285714,93.3834586466,2012.33082707,78.6839285393,-36.7613433562,143.824101574
BRIDGEWATER-MALDON ROAD,144678.277778,16252.9733333,2128.40888889,9760.78666667,92.1777777778,2012.37777778,90.3651272578,-36.7449418124,143.945794957
BRIDGEWATER-SERPENTINE ROAD,33407.5,10519.0,1746.5,9673.5,100.0,2012.0,100.880075411,-36.42541987,143.9709847
BRIGHT-TAWONGA ROAD,40662.5,10687.0,2093.4893617,9894.57446809,100.0,2013.0,84.7210107357,-36.73404936,147.0153418
BROADFORD-KILMORE ROAD,196591.5,19040.0,1.5,9853.0,60.0,2013.0,90.5489584614,-37.23277433,145.0012935
BROADHURST AVENUE,181527.5,18626.0,1.5,13773.5,50.0,2011.0,52.0435416704,-37.70830612,145.0026048
BROADWAY,103687.514085,13685.6197183,7446.47887324,8679.21126761,86.4788732394,2011.66197183,50.762764138,-36.5935725876,143.560199949
BRODRIBB ROAD,13624.5,10085.0,978.489361702,11599.5744681,100.0,2012.0,76.1264623886,-38.27781976,146.4139314
BROMLEY ROAD,60949.5,11804.0,4706.5,12805.0,60.0,2011.0,54.4398957493,-34.58645909,142.7714001
BROWN COAL MINE ROAD,39823.5,10676.0,2071.5,10156.0,100.0,2013.0,88.4489584763,-38.16195732,146.4044863
BROWNS ROAD,172704.833333,17576.6666667,2890.5,19618.8333333,86.6666666667,2012.33333333,88.4477860653,-38.3149948467,144.992471733
BRUNSWICK D,116805.5,14502.0,8632.0,6336.0,60.0,2011.0,38.9975001019,-37.7770579,144.9601237
BRUNSWICK ROAD,116853.5,14502.0,8633.0,16573.0,60.0,2011.0,41.810260435,-37.7770561,144.9601157
BRUNSWICK STREET,127587.5,14767.0,9103.5,13787.5,60.0,2006.0,40.5375001034,-37.80204334,144.9778262
BRUTHEN-BUCHAN ROAD,103421.605882,13687.9882353,7750.48235294,10313.2352941,85.5294117647,2013.0,81.0411764936,-37.6056046369,148.102804841
BUCHAN ROAD,73935.5,12524.5,6175.5,8836.5,100.0,2012.0,97.179322123,-37.72045339,147.84661615
BUCKLAND GAP ROAD,135337.5,14941.0,9449.5,9992.0,100.0,2013.0,88.9013584392,-36.43533776,146.6967669
BUCKLEY STREET,89851.5,13394.0,5439.0,11297.5,60.0,2013.0,51.2312500278,-37.80355261,144.894074
BUCKNALL STREET,162424.5,17411.0,1.48936170213,11996.9148936,100.0,2012.0,76.1553192952,-37.03980383,143.8087283
BUFFALO RIVER ROAD,53150.5,10979.0,2664.5106383,9902.08510638,100.0,2013.0,72.5000001221,-36.57856323,146.6976492
BUFFALO-TARWIN LOWER ROAD,172437.5,18309.0,1.5,30757.5,100.0,2012.0,95.3687494331,-38.66055621,145.9319295
BULBAN ROAD,187449.5,18746.0,1.52173913043,14014.0869565,80.0,2011.0,92.0006519379,-37.91676253,144.6151856
BULGA PARK ROAD,74485.5,12562.0,6250.47727273,10702.2045455,100.0,2013.0,98.7900559661,-38.5142856,146.6623591
BULLA ROAD,117021.5,14505.0,8638.5,11237.5,60.0,2011.0,64.9511198007,53.583858205,53.583843155
BULLEEN ROAD,109423.5,14329.0,8287.5,5710.0,70.0,2005.0,69.4479166667,-37.77084554,145.0792493
BULLUMWAAL ROAD,113061.847826,14506.4782609,3876.17391304,10473.0869565,87.8260869565,2012.52173913,79.1657337623,-37.8038313904,147.614113187
BUNGAREE-CRESWICK ROAD,153946.5,17266.0,1.53488372093,9557.60465116,95.0,2012.0,101.061335849,-37.54155852,143.9799905
BUNGOWER ROAD,162078.833333,17199.3333333,2430.5,19708.5,90.0,2011.66666667,85.9558334744,-38.2333319033,145.134039267
BUNINYONG-SEBAS,21621.5,10216.0,1282.5,13035.0,100.0,2013.0,79.3921875954,-37.64518185,143.8658179
BUR,26547.5,10323.0,1498.5,8801.5,100.0,2012.0,94.7551293366,-37.2268266,144.4157319
BURNLEY STREET,113805.5,14453.0,8534.5,9405.5,60.0,2011.0,49.0091665583,-37.81453272,145.0092131
BURNLEY TUNNEL,88579.5,13269.0,5040.0,2768.0,80.0,2012.0,89.4479166667,-37.82449496,144.9722935
BURNLEY TUNNEL/SOUTHERN LINK,206315.5,19295.0,1.0,13043.0,80.0,2013.0,63.2291666663,-37.83027649,145.0063782
BUX,166768.5,17640.0,1.48936170213,8220.95744681,85.0,2013.0,79.0247342131,-37.46745435,145.736469
BYRNE STREET,154440.5,16277.5,4925.5,9268.0,55.0,2012.0,51.6246094108,-37.05135727,142.78613855
BYRNESIDE-KYABRAM ROAD,58020.5,11607.5,4141.0,9709.5,100.0,2012.5,97.0740613909,-36.36512674,145.1329551
CAIRNLEA DRIVE,184935.5,18666.0,1.5,31261.5,60.0,2011.0,59.8642188312,-37.75340937,144.784888
CALDER ALTERNATIVE HIGHWAY,56684.1666667,11637.6666667,3649.83333333,5605.0,93.3333333333,2012.66666667,88.2813538302,-36.8436933533,144.1758038
CALDER FREEWAY,67927.42,9625.0,4495.1,16152.54,97.2,2011.9,100.509341188,-11.9168473238,119.075629858
CALDER FREEWAY SE   BD,105922.5,13934.0,6922.0,31253.5,100.0,2011.0,104.073305288,53.526291945,53.568196325
CALDER FREEWAYOFFRAMP,148943.5,14953.0,637.6,5523.8,68.0,2010.8,88.8882690114,-37.523774496,144.6468241
CALDER FREEWAYONRAMP,194959.5,18955.0,1.0,6524.5,60.0,2012.0,87.4267186325,-37.473172045,144.5933972
CALDER HIGHWAY,78458.7058433,12910.6128818,3415.57569721,15416.7051793,94.3293492696,2011.98472776,91.861894842,-36.1231184784,143.487096124
CALDER PARK DRIVE,183015.5,18643.0,1.5,31247.5,70.0,2011.0,67.2454948426,-37.69603448,144.7558845
CAMERON DRIVE,22650.5,10246.0,1342.54285714,8724.77142857,100.0,2012.0,51.2671428136,-37.37250901,144.5949582
CAMMS ROAD,122049.5,14587.0,8733.5,31301.5,60.0,2011.0,50.9989582703,-38.09863776,145.2878531
CAMP ROAD,117669.5,14514.0,8656.0,6367.0,60.0,2011.0,59.8553123875,-37.68933344,144.9555585
CAMPBELL STREET,84112.5,12902.5,6048.5,10087.0,65.0,2011.0,49.8944269369,-36.312153505,143.2517631
CAMPERDOWN-BALLARAT ROAD,60964.2653631,11753.6312849,1238.65921788,11932.301676,100.0,2012.25698324,96.2284909149,-38.0439207566,143.264723963
CAMPERDOWN-COBDEN ROAD,29025.5,10452.0,1602.5,8441.0,100.0,2013.0,99.5572911476,-38.29697936,143.1135843
CANN VALLEY HIGHWAY,79441.5,12766.0,3298.47826087,7635.60869565,100.0,2012.0,90.2453802776,-37.34342604,149.2044358
CANTERBURY ROAD,76243.8333333,9874.33333333,5462.0,17443.1666667,63.3333333333,2010.0,67.1408154765,-37.8383024317,145.1435604
CAPE PATERSON ROAD,49827.6276596,11600.4468085,2729.22340426,8150.0,75.5319148936,2013.0,72.6211434718,-38.6321820926,145.663977645
CAPE PATERSON-INVERLOCH ROAD,102418.5,13964.0,7656.48837209,8030.95348837,100.0,2012.0,77.5087210185,-38.67201333,145.626475
CARDINIA ROAD,133950.5,15716.0,3838.0,21941.5,60.0,2012.0,73.9022004605,-38.0898600675,145.431709575
CARINISH ROAD,189415.5,18783.0,1.5,13821.5,50.0,2011.0,54.1090104978,-37.92614062,145.1229883
CARISBROOK-EDDING,156828.5,17311.0,9988.4893617,11996.9361702,100.0,2012.0,100.728457229,-36.97467455,143.8217264
CARLISLE ROAD,32274.5,10494.0,1696.5106383,11541.1489362,100.0,2012.0,92.5497335871,-38.37938544,143.5040341
CARRAJUNG-WOODSIDE ROAD,55880.5,11058.0,2818.48780488,11613.6341463,100.0,2013.0,94.7749996644,-38.5230682,146.8630117
CASTER,59223.8674419,11831.3581395,3965.09767442,10233.3023256,100.0,2012.22325581,98.370580752,-37.3135146528,141.231500179
CASTLEMAINE-MALDON ROAD,134606.5,14930.0,9427.5106383,9053.08510638,80.0,2012.0,95.150371024,-37.04160795,144.1220024
CENTRAL AVENUE,119603.5,14549.0,8725.5,9952.0,60.0,2011.0,59.9887238941,-37.87042566,144.764808
