OBJECTID,LOCATION_ID,MIDPNT_LAT,MIDPNT_LON,HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,ALLVEHS_MMW,ALLVEH_CALC,ALLVEHS_AADT,TRUCKS_AADT,TRUCK_CALC,PER_TRUCKS,TWO_WAY_AADT,ALLVEH_AMPEAK,ALLVEH_PMPEAK,GROWTH_RATE,CI,YR,LABEL
3011,163743,-38.199659,146.532954,8077,3850, SHAKESPEARE STREET btwn PRINCES STREET & PRINCES STREET,NORTH BOUND,6200,E,6600,390,E,7%,"13,000",N/A,N/A,4.6%,+/-1.8%,2015,"6,600* (6% 390*) NORTH BOUND"
3012,163744,-38.394943,146.165476,8079,4148, THORPDALE ROAD btwn RIDGWAY STREET & MIRBOO NORTH-TRAFALGAR ROAD,SOUTH BOUND,2200,E,2300,300,E,15%,"4,600",N/A,N/A,3.8%,+/-0.8%,2015,"2,300* (13% 300*) SOUTH BOUND"
3013,163745,-36.827382,144.155382,7182,4454, CALDER ALTERNATIVE HIGHWAY btwn BENDIGO-MALDON ROAD & MARYBOROUGH-BENDIGO ROAD,NORTH BOUND,1700,E,1800,410,E,27%,"3,600",N/A,N/A,1.9%,+/-2.2%,2015,"1,800* (22% 410*) NORTH BOUND"
3014,163746,-38.231326,145.216285,8084,4550, DANDENONG-HASTINGS ROAD btwn ERAMOSA ROAD & BUNGOWER ROAD,NORTH BOUND,4600,E,4100,480,E,14%,"8,200",N/A,N/A,0.5%,+/-0.2%,2015,"4,100* (12% 480*) NORTH BOUND"
3015,163748,-37.821654,144.966233,8088,4654, CITY ROAD btwn ALEXANDRA AVENUE & SOUTHBANK BOULEVARD,WEST BOUND,17000,E,15000,710,E,5%,"33,000",N/A,N/A,-0.2%,+/-0.2%,2015,"15,000* (5% 710*) WEST BOUND"
3016,163861,-38.135145,144.351757,7594,7539, KEERA STREET btwn MERCER STREET & CHURCH STREET,SOUTH BOUND,26000,E,27000,4500,E,20%,"54,000",N/A,N/A,-0.8%,+/-0.8%,2015,"27,000* (16% 4,500*) SOUTH BOUND"
3017,163862,-38.157569,144.350869,7811,7458, LATROBE TERRACE btwn SETTLEMENT ROAD & NOBLE STREET,SOUTH BOUND,17000,E,18000,2900,E,20%,"38,000",N/A,N/A,-1.5%,+/-1.1%,2015,"18,000* (16% 2,900*) SOUTH BOUND"
3018,163863,-38.181909,144.347799,7597,7414, SETTLEMENT ROAD btwn SURF COAST HIGHWAY & SETTLEMENT ROAD,WEST BOUND,20000,E,21000,2200,E,13%,"42,000",N/A,N/A,7.7%,+/-1.8%,2015,"21,000* (10% 2,200*) WEST BOUND"
3019,163864,-38.33136,143.619339,7815,7265, PRINCES HIGHWAY WEST btwn MURRAY STREET & COLAC-BALLARAT ROAD,SOUTH WEST BOUND,4100,A,4300,710,E,20%,"8,600",440,340,-3.5%,+/-7.7%,2015,"4,300 (16% 710*) SOUTH WEST BOUND"
3020,163865,-38.34448,143.385836,7229,7182, PRINCES HIGHWAY WEST btwn COBDEN-STONEYFORD ROAD & PRINCES HIGHWAY WEST,WEST BOUND,1800,E,1900,360,E,23%,"3,900",N/A,N/A,1.3%,+/-0.4%,2015,"1,900* (19% 360*) WEST BOUND"
3021,163866,-38.239882,142.922639,8139,7120, BOURKES ROAD btwn HIGH STREET & DOW STREET,WEST BOUND,2400,E,2600,390,E,18%,"5,200",N/A,N/A,1.8%,+/-0.2%,2015,"2,600* (15% 390*) WEST BOUND"
3022,163867,-38.385701,142.583642,8142,7071, PRINCES HIGHWAY WEST btwn UNNAMED & PRINCES HIGHWAY WEST,WEST BOUND,5500,E,5900,660,E,14%,"12,000",N/A,N/A,1.4%,+/-0.3%,2015,"5,900* (11% 660*) WEST BOUND"
3023,163868,-38.351732,142.257263,7238,6990, PRINCES HIGHWAY WEST btwn ROSEBROOK ROAD & PENSHURST-PORT FAIRY ROAD,SOUTH WEST BOUND,3500,E,3800,410,E,13%,"7,200",N/A,N/A,3.3%,+/-1.2%,2015,"3,800* (11% 410*) SOUTH WEST BOUND"
3024,163869,-38.134046,141.629577,7241,6959, EDGAR STREET btwn OWEN STREET & PRINCES HIGHWAY WEST,NORTH BOUND,2100,E,2200,340,E,18%,"4,300",N/A,N/A,1.8%,+/-0.2%,2015,"2,200* (15% 340*) NORTH BOUND"
3025,163254,-37.823911,144.964529,5801,8131, KAVANAGH STREET btwn SOUTHBANK BOULEVARD & POWER STREET,SOUTH WEST BOUND,2800,E,2500,,E,,"4,300",N/A,N/A,0.7%,+/-0.8%,2015,"2,500* (N/A) SOUTH WEST BOUND"
3026,163259,-37.987198,145.234965,6384,8139, KIDDS ROAD btwn CLOW STREET & POWER ROAD,EAST BOUND,9900,E,8900,630,E,8%,"18,000",N/A,N/A,2.2%,+/-0.3%,2015,"8,900* (7% 630*) EAST BOUND"
3027,163262,-37.886641,145.057554,6389,8154, KOORNANG ROAD btwn DANDENONG ROAD & NEERIM ROAD,SOUTH BOUND,6400,E,5800,740,E,15%,"13,000",N/A,N/A,-2%,+/-0.7%,2015,"5,800* (13% 740*) SOUTH BOUND"
3028,163266,-37.866819,145.018683,6392,8163, KOOYONG ROAD btwn ALMA ROAD & INKERMAN ROAD,SOUTH BOUND,8300,E,7400,950,E,15%,"15,000",N/A,N/A,-1.4%,+/-0.4%,2015,"7,400* (13% 950*) SOUTH BOUND"
3029,163269,-37.814236,144.947669,6394,8173, LATROBE STREET btwn DOCKLANDS HIGHWAY & ADDERLEY STREET,EAST BOUND,5800,E,5200,660,E,15%,"10,000",N/A,N/A,-0.6%,+/-0.1%,2015,"5,200* (13% 660*) EAST BOUND"
3030,163273,-37.808513,144.967527,6737,8182, LATROBE STREET btwn RUSSELL STREET & EXHIBITION STREET,EAST BOUND,8300,E,7500,950,E,15%,"17,000",N/A,N/A,-4%,+/-1.2%,2015,"7,500* (13% 950*) EAST BOUND"
3031,163278,-38.025007,145.449993,6220,8191, LEPPITT ROAD btwn OFFICER-UPPER BEACONSFIELD ROAD & TOOMUC VALLEY ROAD,EAST BOUND,1100,E,1000,70,E,8%,"2,100",N/A,N/A,3%,+/-0.2%,2015,"1,000* (7% 70*) EAST BOUND"
3032,163287,-37.656808,145.509072,5814,8195, LILYDALE ROAD btwn HEALESVILLE-KINGLAKE ROAD & MAROONDAH HIGHWAY,SOUTH EAST BOUND,3800,E,3500,250,E,8%,"7,000",N/A,N/A,2.6%,+/-0.3%,2015,"3,500* (7% 250*) SOUTH EAST BOUND"
3033,163293,-37.966358,144.542591,6774,8204, LITTLE RIVER ROAD btwn OLD MELBOURNE ROAD & UNNAMED,EAST BOUND,460,E,420,30,E,8%,870,N/A,N/A,0.9%,+/-0.6%,2015,420* (7% 30*) EAST BOUND
3034,163296,-37.810485,144.96843,6401,8219, LONSDALE STREET btwn RUSSELL STREET & EXHIBITION STREET,EAST BOUND,12000,A,11000,1400,E,15%,"23,000",620,950,-0.5%,+/-0.1%,2015,"11,000 (13% 1,400*) EAST BOUND"
3035,163300,-38.383811,145.147567,6402,8223, LORD SOMERS ROAD btwn SANDY POINT ROAD & PARKLANDS AVENUE,SOUTH BOUND,3800,E,3500,250,E,8%,"7,000",N/A,N/A,2.6%,+/-0.3%,2015,"3,500* (7% 250*) SOUTH BOUND"
3036,163303,-38.029442,145.346241,6404,8232, LYALL ROAD btwn HARKAWAY ROAD & CLYDE ROAD,SOUTH WEST BOUND,8900,E,8000,570,E,8%,"16,000",N/A,N/A,1.2%,+/-0.5%,2015,"8,000* (7% 570*) SOUTH WEST BOUND"
3037,163306,-37.787042,144.969276,6749,8240, LYGON STREET btwn PIGDON STREET & CEMETERY ROAD EAST,SOUTH BOUND,11000,A,10000,1300,E,15%,"20,000","1,100",580,-0.6%,+/-0.4%,2015,"10,000 (13% 1,300*) SOUTH BOUND"
3038,163312,-37.794567,144.93128,6957,8250, MACAULAY ROAD btwn EPSOM ROAD & STUBBS STREET,EAST BOUND,7300,E,6500,830,E,15%,"13,000",N/A,N/A,-2.3%,+/-0.7%,2015,"6,500* (13% 830*) EAST BOUND"
3039,163542,-37.755229,144.993878,7751,3596, ST GEORGES ROAD btwn MILLER STREET & NORMANBY AVENUE,NORTH BOUND,21000,E,19000,1100,E,7%,"39,000",N/A,N/A,-0.2%,+/-0.2%,2015,"19,000* (6% 1,100*) NORTH BOUND"
3040,163543,-37.698925,145.058473,7551,3648, PLENTY ROAD btwn SETTLEMENT ROAD & GRIMSHAW STREET,NORTH BOUND,31000,E,28000,1400,E,6%,"55,000",N/A,N/A,0.5%,+/-0.2%,2015,"28,000* (5% 1,400*) NORTH BOUND"
3041,163544,-38.200553,146.533794,7753,3872, SHAKESPEARE STREET btwn DUNBAR ROAD & BANK STREET,WEST BOUND,4500,E,4700,280,E,7%,"9,500",N/A,N/A,3.6%,+/-1.2%,2015,"4,700* (6% 280*) WEST BOUND"
3042,163546,-38.474873,145.948033,7758,4081, ROUGHEAD STREET btwn ANDERSON STREET & ROUGHEAD STREET,SOUTH BOUND,4500,E,4700,540,E,14%,"8,600",N/A,N/A,1.7%,+/-0.7%,2015,"4,700* (11% 540*) SOUTH BOUND"
3043,163547,-36.740799,144.13073,7761,4431, CALDER ALTERNATIVE HIGHWAY btwn BENDIGO-ST ARNAUD ROAD & HIGH STREET,NORTH BOUND,1900,E,2100,370,E,22%,"4,300",N/A,N/A,3.3%,+/-0.4%,2015,"2,100* (18% 370*) NORTH BOUND"
3044,163548,-38.19276,145.217253,7764,4531, DANDENONG-HASTINGS ROAD btwn ROBINSONS ROAD & LARNACH ROAD,NORTH BOUND,5700,E,5100,740,E,17%,"11,000",N/A,N/A,-3.1%,+/-1.5%,2015,"5,100* (14% 740*) NORTH BOUND"
3045,163549,-37.822646,144.97553,8087,4664, ALEXANDRA AVENUE btwn SWAN STREET & LINLITHGOW AVENUE,NORTH WEST BOUND,27000,E,24000,1100,E,5%,"47,000",N/A,N/A,2.5%,+/-1.6%,2015,"24,000* (5% 1,100*) NORTH WEST BOUND"
3046,163550,-37.810779,145.234001,7770,4727, RINGWOOD BYPASS btwn WARRANDYTE ROAD & WHITEHORSE ROAD,WEST BOUND,23000,E,21000,1100,E,6%,"28,000",N/A,N/A,16.2%,+/-5%,2015,"21,000* (5% 1,100*) WEST BOUND"
3047,163551,-37.917532,145.149383,7188,4825, WELLINGTON ROAD btwn BLACKBURN ROAD & SPRINGVALE ROAD,WEST BOUND,24000,E,21000,1000,E,6%,"43,000",N/A,N/A,0.8%,+/-1.2%,2015,"21,000* (5% 1,000*) WEST BOUND"
3048,163552,-38.014685,145.249518,8097,5169, SOUTH GIPPSLAND FREEWAY btwn SOUTH GIPPSLAND FREEWAY Onramp & SOUTH GIPPSLAND FREEWAY Offramp,NORTH BOUND,39000,A,35000,2800,E,9%,"70,000","3,300","2,500",1.2%,+/-0.6%,2015,"35,000 (8% 2,800*) NORTH BOUND"
3049,163553,-37.760187,145.076167,8100,5669, MANNINGHAM ROAD btwn BANKSIA STREET & BRIDGE STREET,WEST BOUND,37000,E,33000,1700,E,6%,"66,000",N/A,N/A,0.5%,+/-0.3%,2015,"33,000* (5% 1,700*) WEST BOUND"
3050,163554,-37.757372,145.057165,7193,5631, BELL-BANKSIA LINK btwn UPPER HEIDELBERG ROAD & STUDLEY ROAD,NORTH WEST BOUND,19000,E,17000,690,E,5%,"34,000",N/A,N/A,-0.4%,+/-0.5%,2015,"17,000* (4% 690*) NORTH WEST BOUND"
3051,163555,-37.745369,145.004524,8105,5543, BELL STREET btwn HIGH STREET & PLENTY ROAD,WEST BOUND,27000,E,24000,1200,E,6%,"49,000",N/A,N/A,0.6%,+/-0.2%,2015,"24,000* (5% 1,200*) WEST BOUND"
3052,163556,-37.740428,144.957534,7784,5463, BELL STREET btwn SUSSEX STREET & SYDNEY ROAD,WEST BOUND,21000,E,18000,970,E,6%,"35,000",N/A,N/A,0.4%,+/-0.2%,2015,"18,000* (5% 970*) WEST BOUND"
3053,163749,-37.921686,145.182952,7186,4887, WELLINGTON ROAD btwn MONASH FREEWAY Onramp & JELLS ROAD,WEST BOUND,21000,E,19000,1000,E,6%,"44,000",N/A,N/A,-0.2%,+/-0.2%,2015,"19,000* (5% 1,000*) WEST BOUND"
3054,163750,-37.702419,145.382569,8092,4986, MELBA HIGHWAY btwn MACINTYRE LANE & MAROONDAH HIGHWAY,NORTH BOUND,2300,E,2100,360,E,19%,"4,100",N/A,N/A,-0.3%,+/-0.3%,2015,"2,100* (17% 360*) NORTH BOUND"
3055,163752,-37.759587,145.067803,8101,5652, BANKSIA STREET btwn CAPE STREET & LOWER HEIDELBERG ROAD,WEST BOUND,22000,E,19000,1000,E,6%,"38,000",N/A,N/A,-0.3%,+/-0.3%,2015,"19,000* (5% 1,000*) WEST BOUND"
3056,163753,-37.747715,145.025764,7194,5565, BELL STREET btwn ALBERT STREET & CHIFLEY DRIVE,WEST BOUND,23000,A,21000,1100,E,6%,"42,000","1,500","1,600",1.2%,+/-1.4%,2015,"21,000 (5% 1,100*) WEST BOUND"
3057,163754,-37.741694,144.970154,7783,5477, BELL STREET btwn ELM GROVE & DRUMMOND STREET,WEST BOUND,23000,E,21000,890,E,5%,"40,000",N/A,N/A,0.1%,+/-0.4%,2015,"21,000* (4% 890*) WEST BOUND"
3058,163755,-38.024955,145.133914,7577,5943, SPRINGVALE ROAD btwn MORNINGTON PENINSULA ROUTE & MORNINGTON PENINSULA ROUTE,NORTH EAST BOUND,20000,E,18000,1000,E,6%,"38,000",N/A,N/A,0.1%,+/-0.8%,2015,"18,000* (5% 1,000*) NORTH EAST BOUND"
3059,163756,-37.955792,145.151598,7788,5876, SPRINGVALE ROAD btwn LIGHTWOOD ROAD & HEATHERTON ROAD,NORTH BOUND,12000,E,11000,390,E,4%,"23,000",N/A,N/A,-3.1%,+/-0.6%,2015,"11,000* (4% 390*) NORTH BOUND"
3060,163757,-37.896247,145.162967,8114,5779, SPRINGVALE ROAD btwn WAVERLEY ROAD & FERNTREE GULLY ROAD,NORTH BOUND,25000,E,23000,1200,E,6%,"51,000",N/A,N/A,-1.2%,+/-0.6%,2015,"23,000* (5% 1,200*) NORTH BOUND"
3061,163758,-37.808944,145.177448,7581,5691, SPRINGVALE ROAD btwn EASTERN FREEWAY Onramp & SPRINGFIELD ROAD,NORTH BOUND,27000,E,25000,1300,E,6%,"50,000",N/A,N/A,-2.4%,+/-0.9%,2015,"25,000* (5% 1,300*) NORTH BOUND"
3062,163759,-37.788803,144.936546,7209,8320, RACECOURSE ROAD btwn STUBBS STREET & WESTERN LINK TOLLWAY Offramp,WEST BOUND,18000,A,16000,910,E,6%,"32,000",950,"1,200",0.1%,+/-0.3%,2015,"16,000 (5% 910*) WEST BOUND"
3063,163760,-37.8001,144.890128,7794,8234, GEELONG ROAD btwn GORDON STREET & BARKLY STREET,SOUTH WEST BOUND,16000,E,14000,1100,E,9%,"29,000",N/A,N/A,1.7%,+/-0.6%,2015,"14,000* (7% 1,100*) SOUTH WEST BOUND"
3064,163761,-37.837085,144.801588,7215,8049, PRINCES FREEWAY WEST btwn KOROROIT CREEK RD & WESTERN RING RD,SOUTH WEST BOUND,90000,A,81000,8000,E,11%,"160,000","4,600","7,700",4%,+/-0.7%,2015,"81,000 (10% 8,000*) SOUTH WEST BOUND"
3065,163762,-37.919002,144.660744,8126,7876, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Onramp & DUNCANS ROAD,WEST BOUND,26000,E,23000,2500,E,13%,"47,000",N/A,N/A,3.2%,+/-0.2%,2015,"23,000* (11% 2,500*) WEST BOUND"
3066,163960,-37.794468,144.988937,8552,1339, ALEXANDRA PARADE btwn EASTERN FREEWAY & WELLINGTON STREET,WEST BOUND,34000,A,31000,2500,E,9%,"68,000","2,400","2,100",-0.6%,+/-0.3%,2015,"31,000 (8% 2,500*) WEST BOUND"
3067,163964,-37.708974,145.086597,8900,1394, GREENSBOROUGH HIGHWAY btwn GRIMSHAW STREET & WATSONIA ROAD,NORTH BOUND,25000,A,22000,850,E,4%,"46,000","1,300","1,900",1.4%,+/-0.3%,2015,"22,000 (4% 850*) NORTH BOUND"
3068,163965,-37.686705,145.068505,7978,1408, METROPOLITAN RING ROAD btwn METROPOLITAN RING ROAD Offramp & METROPOLITAN RING ROAD Onramp,WEST BOUND,42000,E,38000,2200,E,7%,"76,000",N/A,N/A,2.2%,+/-0.3%,2015,"38,000* (6% 2,200*) WEST BOUND"
3069,163967,-37.773018,144.793937,8909,1453, WESTERN RING ROAD btwn BALLARAT ROAD & WESTERN RING ROAD Onramp,NORTH BOUND,65000,E,58000,4700,E,9%,"117,000",N/A,N/A,1.2%,+/-0.7%,2015,"58,000* (8% 4,700*) NORTH BOUND"
3070,163968,-37.744582,144.842091,8572,1443, WESTERN RING ROAD btwn WESTERN RING ROAD Onramp & WESTERN RING ROAD Offramp,NORTH EAST BOUND,71000,A,64000,7000,E,13%,"129,000","4,600","4,600",1.6%,+/-0.7%,2015,"64,000 (11% 7,000*) NORTH EAST BOUND"
3071,163969,-37.691997,144.954765,8575,1423, WESTERN RING ROAD btwn METROPOLITAN RING ROAD & WESTERN RING ROAD Onramp,EAST BOUND,58000,E,52000,6600,E,15%,"114,000",N/A,N/A,2.3%,+/-2.3%,2015,"52,000* (13% 6,600*) EAST BOUND"
3072,163972,-37.830538,145.016666,8579,1515, SOUTHERN LINK TOLLWAY btwn SOUTHERN LINK TOLLWAY Offramp & YARRA BOULEVARD,WEST BOUND,79000,E,71000,5800,E,9%,"116,000",N/A,N/A,2.1%,+/-0.2%,2015,"71,000* (8% 5,800*) WEST BOUND"
3073,163316,-37.679504,145.006566,6754,8263, MAIN STREET btwn EDGARS ROAD & HIGH STREET,EAST BOUND,5200,A,4600,330,E,8%,"8,600",310,330,0.3%,+/-0.9%,2015,"4,600 (7% 330*) EAST BOUND"
3074,163320,-37.766124,145.314868,6756,8275, MANCHESTER ROAD btwn MAROONDAH HIGHWAY & BELLARA DRIVE,SOUTH BOUND,5400,E,4900,350,E,8%,"9,800",N/A,N/A,1.8%,+/-0.7%,2015,"4,900* (7% 350*) SOUTH BOUND"
3075,163323,-38.308343,145.195587,5830,8284, MARINE PARADE btwn HIGH STREET & SKINNER STREET,SOUTH EAST BOUND,3800,E,3500,250,E,8%,"7,000",N/A,N/A,2.6%,+/-0.3%,2015,"3,500* (7% 250*) SOUTH EAST BOUND"
3076,163330,-38.025608,144.421745,6971,8303, MCCLELLAND AVENUE btwn MCCLELLAND AVENUE & ABBEY DRIVE,EAST BOUND,5000,E,5300,300,E,7%,"11,000",N/A,N/A,1.7%,+/-0.4%,2015,"5,300* (6% 300*) EAST BOUND"
3077,163334,-38.168467,145.167674,6796,8311, MCCLELLAND DRIVE btwn NORTH ROAD & ROBINSONS ROAD,SOUTH BOUND,8000,E,7200,920,E,15%,"15,000",N/A,N/A,1.7%,+/-1%,2015,"7,200* (13% 920*) SOUTH BOUND"
3078,163338,-38.074784,145.474548,5836,8321, MCGREGOR ROAD btwn PRINCES HIGHWAY EAST & HENTY STREET,SOUTH BOUND,3200,E,2900,200,E,8%,"5,800",N/A,N/A,4.8%,+/-1.4%,2015,"2,900* (7% 200*) SOUTH BOUND"
3079,163348,-37.671424,144.854308,6764,8329, MELBOURNE DRIVE btwn CENTRE ROAD & DEPARTURE DRIVE,SOUTH EAST BOUND,3800,E,3500,250,E,8%,"7,000",N/A,N/A,2.6%,+/-0.3%,2015,"3,500* (7% 250*) SOUTH EAST BOUND"
3080,163352,-38.364327,145.075404,5843,8344, MERRICKS ROAD btwn BITTERN-DROMANA ROAD & STANLEYS ROAD,SOUTH BOUND,3800,E,3500,250,E,8%,"7,000",N/A,N/A,2.6%,+/-0.3%,2015,"3,500* (7% 250*) SOUTH BOUND"
3081,163357,-38.137226,144.330505,6804,8352, MINERVA ROAD btwn CHURCH STREET & ABERDEEN STREET,SOUTH BOUND,3300,E,3500,250,E,9%,"7,000",N/A,N/A,0.4%,+/-0.4%,2015,"3,500* (7% 250*) SOUTH BOUND"
3082,163361,-37.81939,145.089307,6982,8360, MONT ALBERT ROAD btwn BALWYN ROAD & UNION ROAD,EAST BOUND,7100,E,6400,820,E,15%,"13,000",N/A,N/A,0.4%,+/-0.4%,2015,"6,400* (13% 820*) EAST BOUND"
3083,163364,-38.148305,144.360272,7323,8369, MOORABOOL STREET btwn MALOP STREET & RYRIE STREET,SOUTH BOUND,4900,E,5200,400,E,10%,"12,000",N/A,N/A,-3.3%,+/-1.5%,2015,"5,200* (8% 400*) SOUTH BOUND"
3084,163367,-37.826543,144.960408,6809,8378, MORAY STREET btwn CITY ROAD & KINGS IN-MORAY RAMP,SOUTH BOUND,3900,E,3500,450,E,15%,"7,000",N/A,N/A,-0.8%,+/-0.2%,2015,"3,500* (13% 450*) SOUTH BOUND"
3085,163371,-38.025332,145.530569,5852,8388, MORRISON ROAD btwn GORDON ROAD & DORE ROAD,SOUTH EAST BOUND,30,E,20,0,E,6%,50,N/A,N/A,4.3%,+/-0.6%,2015,20* (4% 0*) SOUTH EAST BOUND
3086,163375,-38.16869,144.331443,7329,8397, MT PLEASANT ROAD btwn BARRABOOL ROAD & THE AVENUE,SOUTH EAST BOUND,4100,E,4400,300,E,8%,"9,000",N/A,N/A,0.7%,+/-0.3%,2015,"4,400* (7% 300*) SOUTH EAST BOUND"
3087,163557,-38.000859,145.142743,8110,5926, SPRINGVALE ROAD btwn CHELTENHAM ROAD & GOVERNOR ROAD,NORTH BOUND,21000,A,19000,1000,E,6%,"34,000","2,000","1,200",-2%,+/-1.1%,2015,"19,000 (5% 1,000*) NORTH BOUND"
3088,163558,-37.92548,145.157252,7202,5845, SPRINGVALE ROAD btwn WELLINGTON ROAD & DANDENONG ROAD,NORTH BOUND,19000,A,17000,720,E,5%,"36,000","1,200","1,400",-0.6%,+/-0.3%,2015,"17,000 (4% 720*) NORTH BOUND"
3089,163559,-37.868208,145.168057,8115,5757, SPRINGVALE ROAD btwn HIGHBURY ROAD & HIGH STREET ROAD,NORTH BOUND,25000,A,22000,1200,E,6%,"47,000","1,300","2,000",-1.4%,+/-0.5%,2015,"22,000 (5% 1,200*) NORTH BOUND"
3090,163561,-37.788037,144.928352,7210,8298, RACECOURSE ROAD btwn SMITHFIELD ROAD & WELLINGTON STREET,WEST BOUND,18000,E,16000,920,E,6%,"32,000",N/A,N/A,-0.3%,+/-0.4%,2015,"16,000* (5% 920*) WEST BOUND"
3091,163562,-37.822982,144.826896,7213,8135, GEELONG ROAD btwn PRINCES FREEWAY WEST & GRIEVE PARADE,WEST BOUND,26000,E,24000,3700,E,18%,"50,000",N/A,N/A,-0%,+/-0.3%,2015,"24,000* (16% 3,700*) WEST BOUND"
3092,163563,-37.84534,144.783962,8122,8027, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Offramp & KEILOR-LAVERTON ROAD,SOUTH WEST BOUND,77000,E,70000,5600,E,9%,"140,000",N/A,N/A,2.2%,+/-0.2%,2015,"70,000* (8% 5,600*) SOUTH WEST BOUND"
3093,163564,-37.92859,144.632515,7800,7857, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY & WERRIBEE MAIN ROAD,WEST BOUND,27000,E,24000,2500,E,12%,"49,000",N/A,N/A,2.9%,+/-0.2%,2015,"24,000* (11% 2,500*) WEST BOUND"
3094,163565,-38.016736,144.460722,7804,7775, PRINCES FREEWAY WEST btwn PRINCES HIGHWAY WEST Offramp & BEACH ROAD,SOUTH WEST BOUND,26000,E,27000,3000,E,14%,"54,000",N/A,N/A,2.6%,+/-0.3%,2015,"27,000* (11% 3,000*) SOUTH WEST BOUND"
3095,163566,-38.072148,144.37302,7219,7671, PRINCES HIGHWAY WEST btwn PURNELL ROAD & PLANTATION ROAD,SOUTH WEST BOUND,18000,E,19000,2000,E,13%,"38,000",N/A,N/A,-2.2%,+/-1.5%,2015,"19,000* (10% 2,000*) SOUTH WEST BOUND"
3096,163567,-38.138286,144.353848,7595,7528, KEERA STREET btwn LATROBE TERRACE & MERCER STREET,SOUTH BOUND,23000,E,24000,3900,E,20%,"48,000",N/A,N/A,-0.8%,+/-0.9%,2015,"24,000* (16% 3,900*) SOUTH BOUND"
3097,163568,-38.167358,144.351597,8133,7447, SETTLEMENT ROAD btwn BARWON HEADS ROAD & LATROBE TERRACE,SOUTH BOUND,16000,E,17000,2700,E,20%,"33,000",N/A,N/A,-1.6%,+/-1.4%,2015,"17,000* (16% 2,700*) SOUTH BOUND"
